mine_x;mine_y
0.982791;0.501764
1.81986;4.51372
5.51523;0.479345
4.73488;4.82661
0.919175;3.80142
3.71965;4.3065
1.19688;1.16424
4.50643;1.68664
5.74999;3.62403
0.387337;2.19176
4.02834;2.81054
4.77434;2.01277
2.38242;0.675088
3.98541;0.750922
3.68542;0.136935
4.74351;4.92751
5.30436;0.092513
5.98706;1.42232
3.17963;1.05004
4.82518;3.18249
2.08486;4.92092
1.88035;4.51005
0.751664;3.38085
4.78982;2.09635
1.40405;4.99672
2.17474;0.798987
5.89131;0.347522
1.79269;4.38009
5.67121;2.25483
3.60805;0.775925
