mine_x;mine_y
0.26006;4.80987
1.41148;3.62357
0.693865;5.89921
0.797916;0.340788
2.12889;0.719377
0.924576;4.70074
0.739817;1.41672
6.66341;4.53203
0.974507;5.0759
3.43336;5.50764
5.0442;3.06337
1.90033;2.6078
3.41602;3.54007
2.60371;5.23455
1.55966;5.6275
0.268859;5.30915
2.30092;2.84727
5.98074;0.398556
2.10327;3.08622
2.35802;0.551246
5.01901;4.78081
0.298669;0.267822
6.18647;0.494033
5.16891;0.557473
3.22805;2.16253
6.44998;3.99893
6.36935;1.06463
3.66455;2.70948
5.72807;0.968876
6.13279;1.03059
3.23525;1.12444
4.3618;4.77031
0.377923;3.18477
6.96188;5.45698
6.84416;2.59006
2.92143;5.55093
1.02535;3.17775
1.56597;4.55494
1.73026;5.65958
2.33356;5.15512
3.61081;2.03319
3.2485;0.082001
